timestep,seed,scenario,agent,workload_level,queue_avg,action,selected_latency_s,selected_energy_j,latency_weight,energy_weight,reward,actor_loss,critic_loss,td_error,td_lat,td_eng,replay_priority,phase
0,40,scenario3_repeated_spike,MOPER,50,4.0,1,0.09145454545454544,0.11316363636363636,0.37963480414742923,0.6203651958525708,-0.10492210988814489,,,,,,,normal
1,40,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.44031659023960723,0.5596834097603928,-0.10231303501472863,,,,,,,normal
2,40,scenario3_repeated_spike,MOPER,50,1.0,0,0.060625,0.197,0.4794962443769978,0.5205037556230022,-0.13160869967308694,,,,,,,normal
3,40,scenario3_repeated_spike,MOPER,50,1.9000000000000004,0,0.0611875,0.19790000000000002,0.5092651391457473,0.49073486085425266,-0.12827708966453702,,,,,,,normal
4,40,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.5389351989432839,0.4610648010567161,-0.10014342562324774,,,,,,,normal
5,40,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.5616613537094056,0.4383386462905944,-0.09964345021839308,,,,,,,normal
6,40,scenario3_repeated_spike,MOPER,50,1.0,0,0.060625,0.197,0.5718079508283547,0.42819204917164533,-0.11901969070578314,,,,,,,normal
7,40,scenario3_repeated_spike,MOPER,50,1.9000000000000004,0,0.0611875,0.19790000000000002,0.5793706668803834,0.4206293331196166,-0.1186927877041156,,,,,,,normal
8,40,scenario3_repeated_spike,MOPER,50,2.710000000000001,0,0.061693750000000006,0.19871000000000003,0.5849482248264243,0.4150517751735757,-0.11856258779012646,,,,,,,normal
9,40,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.5960682384136152,0.4039317615863848,-0.09888649875490046,,,,,,,normal
10,40,scenario3_repeated_spike,MOPER,50,1.0,0,0.060625,0.197,0.5973450411672027,0.40265495883279734,-0.11553707001082275,,,,,,,normal
11,40,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6053494496062863,0.39465055039371366,-0.09868231210866169,,,,,,,normal
12,40,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6115433755290072,0.38845662447099283,-0.09854604573836184,,,,,,,normal
13,40,scenario3_repeated_spike,MOPER,50,0.0,1,0.09,0.11199999999999999,0.6163491859284919,0.38365081407150814,-0.09844031790957317,,,,,,,normal
14,40,scenario3_repeated_spike,MOPER,50,1.0,0,0.060625,0.197,0.6127951796963084,0.38720482030369163,-0.11343005736891595,,,,,,,normal
15,40,scenario3_repeated_spike,MOPER,50,1.9000000000000004,0,0.0611875,0.19790000000000002,0.6098869373434166,0.3901130626565834,-0.11452083207843816,,,,,,,normal
16,40,scenario3_repeated_spike,MOPER,50,2.710000000000001,0,0.061693750000000006,0.19871000000000003,0.6074655761222868,0.3925344238777132,-0.11547734475563473,,,,,,,normal
17,40,scenario3_repeated_spike,MOPER,50,3.439,0,0.062149375,0.199439,0.60541137772818,0.39458862227182,-0.11632229898096483,,,,,,,normal
